"Table 1.1.1. Percent Change From Preceding Period in Real Gross Domestic Product"
"[Percent] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: June 27, 2019 - Next Release Date July 26, 2019"
"Line","","2017","2017","2017","2017","2018","2018","2018","2018","2019"
"Line","","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1"
"1","        Gross domestic product",1.8,3.0,2.8,2.3,2.2,4.2,3.4,2.2,3.1
"2","Personal consumption expenditures",1.8,2.9,2.2,3.9,0.5,3.8,3.5,2.5,0.9
"3","    Goods",1.9,5.6,4.1,6.8,-0.6,5.5,4.3,2.6,0.7
"4","        Durable goods",1.9,8.7,7.7,12.7,-2.0,8.6,3.7,3.6,-2.4
"5","        Nondurable goods",1.9,4.0,2.3,4.0,0.1,4.0,4.6,2.1,2.3
"6","    Services",1.7,1.7,1.4,2.6,1.0,3.0,3.2,2.4,1.0
"7","Gross private domestic investment",4.9,5.7,8.8,0.8,9.6,-0.5,15.2,3.7,6.0
"8","    Fixed investment",9.9,4.3,2.6,6.2,8.0,6.4,1.1,3.1,3.0
"9","        Nonresidential",9.6,7.3,3.4,4.8,11.5,8.7,2.5,5.4,4.4
"10","            Structures",12.8,3.8,-5.7,1.3,13.9,14.5,-3.4,-3.9,4.3
"11","            Equipment",9.1,9.7,9.8,9.9,8.5,4.6,3.4,6.6,-1.0
"12","            Intellectual property products",8.0,6.6,1.7,0.7,14.1,10.5,5.6,10.7,12.0
"13","        Residential",11.1,-5.5,-0.5,11.1,-3.4,-1.3,-3.6,-4.7,-2.0
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---"
"16","    Exports",5.0,3.6,3.5,6.6,3.6,9.3,-4.9,1.8,5.4
"17","        Goods",4.2,4.2,2.1,10.9,3.2,13.5,-8.4,1.2,6.0
"18","        Services",6.4,2.6,6.3,-1.0,4.2,1.5,2.4,2.7,4.4
"19","    Imports",4.8,2.5,2.8,11.8,3.0,-0.6,9.3,2.0,-1.9
"20","        Goods",4.9,2.4,2.5,14.2,2.4,-0.4,10.5,0.5,-3.3
"21","        Services",4.5,3.1,4.4,2.0,5.5,-1.4,4.3,8.6,4.4
"22","Government consumption expenditures and gross investment",-0.8,0.0,-1.0,2.4,1.5,2.5,2.6,-0.4,2.8
"23","    Federal",0.0,2.4,-1.3,4.1,2.6,3.7,3.5,1.1,0.0
"24","        National defense",-0.3,5.6,-2.9,2.9,3.0,5.9,4.9,6.4,4.0
"25","        Nondefense",0.4,-2.0,1.1,5.7,2.1,0.5,1.6,-6.1,-5.8
"26","    State and local",-1.2,-1.3,-0.9,1.4,0.9,1.8,2.0,-1.3,4.6
"","Addendum:","","","","","","","","",""
"27","    Gross domestic product, current dollars",3.9,4.2,4.8,5.1,4.3,7.6,4.9,4.1,3.8
